Model,Image,Has_Lesion,Dice,IoU,Precision,Recall,GT_Lesion_Pixels,Pred_Lesion_Pixels,IRF_Dice,IRF_IoU,IRF_Precision,IRF_Recall,SRF_Dice,SRF_IoU,SRF_Precision,SRF_Recall,PED_Dice,PED_IoU,PED_Precision,PED_Recall
Standard U-Net,Duke_Duke_Subject_01_slice010.png,1,0.3959349593495935,0.2870140612076096,0.375177304964539,0.4238095238095238,89,67,0.4878048780487805,0.3225806451612903,0.425531914893617,0.5714285714285714,0.7,0.5384615384615384,0.7,0.7,0.0,0.0,0.0,0.0
Standard U-Net,Duke_Duke_Subject_01_slice015.png,1,0.7306981975306517,0.5791318760359009,0.7641866715533565,0.730605644052721,443,379,0.7688984881209503,0.624561403508772,0.8317757009345794,0.714859437751004,0.7777777777777778,0.6363636363636364,0.6666666666666666,0.9333333333333333,0.6454183266932271,0.4764705882352941,0.7941176470588235,0.5436241610738255
Standard U-Net,Duke_Duke_Subject_01_slice030.png,1,0.6754267579243924,0.5570363444451861,0.8149716043813688,0.6246819287150874,3618,2734,0.8249422632794458,0.7020440251572327,0.9244306418219461,0.7447873227689742,0.33064516129032256,0.19806763285024154,0.6871508379888268,0.2176991150442478,0.8706928492034087,0.770997375328084,0.8333333333333334,0.9115593483320403
Standard U-Net,Duke_Duke_Subject_01_slice032.png,1,0.41054624007517754,0.30460800711934555,0.6041121188335883,0.32929136566907463,1692,1259,0.741514360313316,0.5892116182572614,0.8469184890656064,0.6594427244582043,0.49012435991221653,0.3246124031007752,0.9654178674351584,0.3284313725490196,0.0,0.0,0.0,0.0
Standard U-Net,Duke_Duke_Subject_01_slice040.png,1,0.54073756432247,0.3721774193548387,0.4737851662404092,0.6516290726817042,40,57,0.5909090909090909,0.41935483870967744,0.5652173913043478,0.6190476190476191,0.49056603773584906,0.325,0.38235294117647056,0.6842105263157895,,,,
Standard U-Net,Duke_Duke_Subject_01_slice042.png,0,,,,,0,0,,,,,,,,,,,,
Standard U-Net,Duke_Duke_Subject_01_slice044.png,0,,,,,0,5,,,,,,,,,,,,
Standard U-Net,Duke_Duke_Subject_02_slice025.png,1,0.788487932762742,0.6628150281857949,0.7269378673085055,0.865561517657326,306,361,0.6412213740458015,0.47191011235955055,0.5526315789473685,0.7636363636363637,0.8833333333333333,0.7910447761194029,0.8238341968911918,0.9520958083832335,0.8409090909090909,0.7254901960784313,0.8043478260869565,0.8809523809523809
Standard U-Net,Duke_Duke_Subject_02_slice028.png,1,0.8459512578616353,0.7331168831168831,0.9099090909090909,0.7906593406593406,296,261,0.8377358490566038,0.7207792207792207,0.888,0.7928571428571428,,,,,0.8541666666666666,0.7454545454545455,0.9318181818181818,0.7884615384615384
Standard U-Net,Duke_Duke_Subject_02_slice044.png,0,,,,,0,75,,,,,,,,,,,,
