Dataset,Model,Group,Case_Count,Dice,IoU,Mean_3Fluid_Dice,Mean_3Fluid_IoU,Precision,Recall,IRF_Dice,SRF_Dice,PED_Dice,IRF_IoU,SRF_IoU,PED_IoU,IRF_Precision,SRF_Precision,PED_Precision,IRF_Recall,SRF_Recall,PED_Recall,Delta_Dice_vs_Base,Rel_Dice_vs_Base_%,Delta_IoU_vs_Base,Rel_IoU_vs_Base_%,Delta_Mean_3Fluid_Dice_vs_Base,Rel_Mean_3Fluid_Dice_vs_Base_%,Delta_Mean_3Fluid_IoU_vs_Base,Rel_Mean_3Fluid_IoU_vs_Base_%,Params_M,Delta_Precision_vs_Base,Rel_Precision_vs_Base_%,Delta_Recall_vs_Base,Rel_Recall_vs_Base_%
DUKE,DeepLabV3+,Baseline,58,0.7597933864239315,0.7094189623603689,0.7597933864239313,0.7094189623603689,0.7722150524850482,0.8380889949503598,0.8406699227897722,0.7372672676212215,0.7014429688608006,0.7886885505173912,0.6860489546831149,0.6535193818806008,0.8486519624803165,0.7455659818365065,0.7224272131383214,0.9117071485600978,0.7892114969789664,0.8133483393120147,0.29968756529968416,65.13448679423604,0.2657492417136507,59.89798928046734,0.2996875652996841,65.13448679423604,0.2657492417136508,59.89798928046737,12.213332,0.29747002112594323,62.65890140531708,0.35117137129102727,72.12131051077361
DUKE,U-Net,Baseline,58,0.6127420940505196,0.5441940724189169,0.6127420940505194,0.544194072418917,0.6401068597005771,0.7559901142926634,0.6545882392876459,0.5856830038487563,0.5979550390151561,0.5777422338289769,0.5106473503787738,0.5441926330490003,0.6818349107345902,0.5950112006400134,0.643474467727128,0.8172683372615162,0.7597192339304648,0.6909827716860093,0.1526362729262723,33.17416688041734,0.1005243517721987,22.65747403849618,0.15263627292627213,33.1741668804173,0.10052435177219887,22.65747403849622,17.26202,0.16536182834147217,34.831713323691375,0.26907249063333083,55.26037209562678
DUKE,SegNet,Baseline,58,0.5611051058386047,0.5052630585238154,0.5611051058386047,0.5052630585238153,0.5667016547100007,0.7194405961216797,0.6645279635725431,0.5244324104981721,0.49435494344509917,0.5933497562510814,0.46460393129556404,0.4578354880248004,0.6747542833266604,0.5222206985249978,0.5031299822783436,0.8328614674634436,0.6966331787064612,0.6288271421951347,0.10099928471435743,21.95131643141796,0.06159333787709714,13.882700353613311,0.10099928471435748,21.951316431417975,0.06159333787709709,13.8827003536133,15.309252,0.09195662335089572,19.369686310911217,0.2325229724623471,47.75406786775696
DUKE,Attention U-Net,Baseline,58,0.5313653601137385,0.47205508058423845,0.5313653601137386,0.4720550805842385,0.5470838758024242,0.7132309992626373,0.6150759291382034,0.47929496469567795,0.4997251865073343,0.5433762028608183,0.425275184215933,0.44751385467596405,0.6188110312738903,0.5063161647560349,0.5161244313773476,0.8020433363110379,0.6523738284259658,0.6852758330509086,0.07125953898949117,15.487641259432836,0.028385359937520227,6.397858275327898,0.07125953898949133,15.487641259432875,0.028385359937520338,6.397858275327923,34.877616,0.07233884444331928,15.237409486146047,0.22631337560330478,46.47878092858739
DUKE,nnU-Net Base,Baseline,58,0.4601058211242473,0.4436697206467182,0.46010582112424725,0.44366972064671817,0.47474503135910495,0.48691762365933255,0.46524803131422027,0.43474556329549985,0.4803238687630216,0.4363510462080401,0.4229344784171946,0.47172363731491995,0.4711826978990057,0.446314529373953,0.5067378668043566,0.557475527571703,0.42882040624456913,0.4744569371617255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89154,0.0,0.0,0.0,0.0
RETOUCH,DeepLabV3+,Baseline,2690,0.897469942994494,0.8573032751380883,0.897469942994495,0.8573032751380882,0.8963834698634121,0.9422894405902806,0.8416566251270673,0.9281598088205315,0.9225933950358864,0.7747194138251223,0.9026887211671603,0.894501690421982,0.8366180229576295,0.9270754607670467,0.9254569258655585,0.8960411612359123,0.969333539281189,0.9614936212537414,0.0174306970890028,1.980672699553073,0.024451438190624453,2.9358689152014015,0.01743069708900491,1.9806726995533153,0.024451438190626562,2.9358689152016626,12.213332,0.01550375219071165,1.7600305557804001,0.0367615165030758,4.059677843743178
RETOUCH,nnU-Net Base,Baseline,2690,0.8800392459054912,0.8328518369474639,0.8800392459054901,0.8328518369474617,0.8808797176727005,0.9055279240872048,0.811390541709309,0.9146440560734561,0.9140831399337052,0.7392991284654408,0.8816083769762694,0.8776480054006747,0.8109933574651231,0.9152330906511484,0.9164127049018184,0.8425101451156741,0.9397251470078347,0.9343484801380987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89154,0.0,0.0,0.0,0.0
RETOUCH,U-Net,Baseline,2690,0.8710287973265548,0.8268275587566954,0.8710287973265546,0.826827558756695,0.8690827579432138,0.9305727464219494,0.83011586903019,0.8949347033931141,0.8880358195563597,0.7610617813956463,0.8644249702345317,0.8549959246399069,0.8299754775265668,0.8904618638068889,0.8868109324961839,0.8753201423943099,0.9605411168523725,0.9558569800191552,-0.009010448578936403,-1.023868949124577,-0.006024278190768451,-0.7233313205921956,-0.009010448578935515,-1.023868949124477,-0.006024278190766674,-0.7233313205919842,17.26202,-0.011796959729486689,-1.3392248104717932,0.025044822334744588,2.765770294714037
RETOUCH,Attention U-Net,Baseline,2690,0.8681484896426894,0.8224851174451744,0.8681484896426888,0.8224851174451725,0.8665711030718215,0.9271067687399158,0.8268932241469736,0.888163543718219,0.8893887010628734,0.7563312705273327,0.8560990173613352,0.8550250644468494,0.8277500914892254,0.8858514013388067,0.8861118163874291,0.8710081196147411,0.9554072583175457,0.9549049282874602,-0.011890756262801783,-1.351162043979883,-0.010366719502289512,-1.244725537291868,-0.011890756262801339,-1.351162043979834,-0.010366719502289179,-1.2447255372918313,34.877616,-0.014308614600878955,-1.6243550979562298,0.021578844652710982,2.3830126138255765
RETOUCH,SegNet,Baseline,2690,0.8141138683193071,0.7651422364613979,0.8141138683193074,0.765142236461397,0.8168184950641048,0.9175461057351145,0.7919220457562703,0.8339572579031361,0.8164623012985159,0.7161640558743366,0.7998427476800545,0.7794199058297998,0.8090484405385282,0.827067543506682,0.8143395011471033,0.8441926678172078,0.9579862214165633,0.9504594279715705,-0.06592537758618411,-7.491186091178477,-0.067709600486066,-8.129849450081373,-0.06592537758618267,-7.491186091178322,-0.06770960048606467,-8.129849450081233,15.309252,-0.0640612226085957,-7.2724143062172635,0.012018181647909687,1.3272016608459998
