file,total_lines,code_lines,blank_lines,comment_lines
count_dataset_sources_by_ret.py,219,173,45,1
evaluate_ablation_nnunet_by_dataset_oldstyle.py,404,317,86,1
evaluate_ablation_nnunet_oldstyle.py,391,315,76,0
evaluate_all_models_oldstyle.py,542,428,105,9
evaluate_baseline_models_by_dataset_oldstyle.py,402,315,86,1
evaluate_baseline_models_oldstyle.py,375,299,76,0
evaluate_comparison.py,390,307,76,7
extract_duke_mat_original_slices.py,290,217,71,2
extract_retouch_raw_original_slices.py,238,184,54,0
gui.py,1728,1446,252,30
model.py,139,94,33,12
model_attention.py,163,110,39,14
model_nnunet_base.py,157,119,34,4
model_nnunet_cbam_decoder.py,235,182,50,3
model_nnunet_eca_cbam.py,244,189,55,0
model_nnunet_eca_encoder.py,195,149,40,6
model_nnunet_sasc.py,256,194,52,10
model_nnunet_sda.py,217,161,48,8
model_nnunet_sda_sasc.py,259,192,61,6
model_segnet.py,134,100,34,0
preprocess_data.py,249,167,56,26
train.py,268,210,53,5
train_attention.py,267,210,53,4
train_nnunet_base.py,305,237,62,6
train_nnunet_cbam_decoder.py,256,197,54,5
train_nnunet_eca_cbam.py,288,223,65,0
train_nnunet_eca_encoder.py,251,193,53,5
train_nnunet_sasc.py,312,233,69,10
train_nnunet_sda.py,256,197,54,5
train_nnunet_sda_sasc.py,273,210,62,1
train_segnet.py,308,235,67,6
