Model,Image,GT_Lesion_Pixels,Pred_Lesion_Pixels,Case_Lesion_Dice,Has_Lesion
nnU-Net Base,Duke_Duke_Subject_01_slice010.png,89,0,0.0,1
nnU-Net Base,Duke_Duke_Subject_01_slice015.png,443,410,0.5073552203163095,1
nnU-Net Base,Duke_Duke_Subject_01_slice030.png,3618,3050,0.7725253483657051,1
nnU-Net Base,Duke_Duke_Subject_01_slice032.png,1692,1758,0.5872133091939177,1
nnU-Net Base,Duke_Duke_Subject_01_slice040.png,40,0,0.0,1
nnU-Net Base,Duke_Duke_Subject_01_slice042.png,0,0,,0
nnU-Net Base,Duke_Duke_Subject_01_slice044.png,0,0,,0
nnU-Net Base,Duke_Duke_Subject_02_slice025.png,306,0,0.0,1
nnU-Net Base,Duke_Duke_Subject_02_slice028.png,296,104,0.39754098197729104,1
nnU-Net Base,Duke_Duke_Subject_02_slice044.png,0,0,,0
nnU-Net Base,Duke_Duke_Subject_02_slice045.png,150,0,0.0,1
nnU-Net Base,Duke_Duke_Subject_03_slice025.png,161,0,0.0,1
nnU-Net Base,Duke_Duke_Subject_03_slice030.png,112,0,0.0,1
nnU-Net Base,Duke_Duke_Subject_03_slice032.png,169,0,0.0,1
nnU-Net Base,Duke_Duke_Subject_03_slice043.png,0,0,,0
nnU-Net Base,Duke_Duke_Subject_03_slice058.png,0,0,,0
nnU-Net Base,Duke_Duke_Subject_04_slice003.png,0,0,,0
nnU-Net Base,Duke_Duke_Subject_04_slice011.png,211,0,0.0,1
nnU-Net Base,Duke_Duke_Subject_04_slice016.png,160,0,0.0,1
nnU-Net Base,Duke_Duke_Subject_04_slice021.png,207,1,0.0,1
nnU-Net Base,Duke_Duke_Subject_04_slice024.png,998,999,0.33173005846113757,1
nnU-Net Base,Duke_Duke_Subject_04_slice026.png,1117,1310,0.2866123730733195,1
nnU-Net Base,Duke_Duke_Subject_04_slice028.png,206,245,0.27303182510963525,1
nnU-Net Base,Duke_Duke_Subject_04_slice031.png,180,184,0.20319634633608555,1
nnU-Net Base,Duke_Duke_Subject_04_slice036.png,0,0,,0
nnU-Net Base,Duke_Duke_Subject_05_slice021.png,0,21,,0
nnU-Net Base,Duke_Duke_Subject_05_slice026.png,1978,1943,0.7873846016633532,1
nnU-Net Base,Duke_Duke_Subject_05_slice028.png,1755,1658,0.5618648721469269,1
nnU-Net Base,Duke_Duke_Subject_05_slice038.png,376,0,0.0,1
nnU-Net Base,Duke_Duke_Subject_05_slice039.png,0,0,,0
nnU-Net Base,Duke_Duke_Subject_05_slice042.png,0,0,,0
nnU-Net Base,Duke_Duke_Subject_05_slice043.png,191,0,0.0,1
nnU-Net Base,Duke_Duke_Subject_06_slice013.png,0,0,,0
nnU-Net Base,Duke_Duke_Subject_06_slice014.png,0,0,,0
nnU-Net Base,Duke_Duke_Subject_06_slice032.png,343,23,0.06469760872842077,1
nnU-Net Base,Duke_Duke_Subject_06_slice040.png,211,0,0.0,1
nnU-Net Base,Duke_Duke_Subject_07_slice012.png,0,0,,0
nnU-Net Base,Duke_Duke_Subject_07_slice029.png,154,127,0.7758007089829156,1
nnU-Net Base,Duke_Duke_Subject_07_slice031.png,272,214,0.22174840038006738,1
nnU-Net Base,Duke_Duke_Subject_07_slice036.png,60,55,0.22727272469008267,1
nnU-Net Base,Duke_Duke_Subject_08_slice013.png,36,0,0.0,1
nnU-Net Base,Duke_Duke_Subject_08_slice018.png,412,58,0.16349809823764982,1
nnU-Net Base,Duke_Duke_Subject_08_slice030.png,353,110,0.2691131486126308,1
nnU-Net Base,Duke_Duke_Subject_08_slice045.png,0,0,,0
nnU-Net Base,Duke_Duke_Subject_09_slice028.png,116,0,0.0,1
nnU-Net Base,Duke_Duke_Subject_09_slice030.png,77,0,0.0,1
nnU-Net Base,Duke_Duke_Subject_09_slice032.png,56,0,0.0,1
nnU-Net Base,Duke_Duke_Subject_09_slice035.png,50,0,0.0,1
nnU-Net Base,Duke_Duke_Subject_09_slice039.png,0,0,,0
nnU-Net Base,Duke_Duke_Subject_09_slice050.png,15,0,0.0,1
nnU-Net Base,Duke_Duke_Subject_10_slice016.png,0,0,,0
nnU-Net Base,Duke_Duke_Subject_10_slice020.png,145,1,0.0,1
nnU-Net Base,Duke_Duke_Subject_10_slice030.png,0,0,,0
nnU-Net Base,Duke_Duke_Subject_10_slice032.png,130,0,0.0,1
nnU-Net Base,Duke_Duke_Subject_10_slice035.png,120,38,0.0,1
nnU-Net Base,Duke_Duke_Subject_10_slice040.png,77,0,0.0,1
nnU-Net Base,Duke_Duke_Subject_10_slice045.png,511,0,0.0,1
nnU-Net Base,Duke_Duke_Subject_10_slice060.png,0,2,,0
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice013.png,0,0,,0
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice016.png,0,0,,0
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice029.png,0,0,,0
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice032.png,34,21,0.7636363497520664,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice033.png,110,101,0.9194312752633589,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice034.png,94,106,0.88999999555,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice035.png,132,146,0.8992805723047461,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice036.png,334,353,0.9082969419093203,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice037.png,513,471,0.9105691047656818,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice039.png,635,649,0.9641744540777457,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice042.png,930,930,0.9128472937412705,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice043.png,1022,1140,0.9082672803620071,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice046.png,1265,1345,0.922630885251296,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice047.png,1410,1565,0.9195920680009835,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice048.png,1806,1821,0.9606072625520645,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice049.png,1806,1930,0.9427460485844537,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice050.png,2072,2086,0.9535149586635427,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice051.png,2048,2126,0.9558761605246144,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice052.png,2097,2149,0.939174172361658,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice054.png,2120,2249,0.9464345612420739,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice055.png,2264,2368,0.9526283545509983,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice056.png,2377,2426,0.9625603259579567,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice057.png,2402,2523,0.9548720202004694,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice058.png,2563,2668,0.9521827160012415,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice059.png,2701,2764,0.9602449167097573,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice060.png,2730,2797,0.9464447379857992,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice061.png,2715,2770,0.9620407736689887,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice062.png,2693,2779,0.9440820859083452,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice064.png,2830,2881,0.9468495786597075,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice065.png,2783,2871,0.952186837799514,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice066.png,2877,2874,0.9575174154635779,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice067.png,2675,2812,0.9457576887473589,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice070.png,2542,2594,0.9571932885598039,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice071.png,2380,2480,0.941782706300575,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice073.png,2533,2562,0.9424889806410695,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice074.png,2327,2386,0.9561767135806578,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice076.png,2172,2251,0.9484288799933985,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice078.png,1880,1930,0.9450127394151304,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice079.png,1716,1815,0.9480703830869743,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice080.png,1658,1734,0.9247233955666709,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice081.png,1401,1531,0.9191978902926223,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice082.png,1354,1406,0.9401868506616275,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice083.png,1099,1215,0.8851364145371237,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice084.png,1125,1148,0.9364609616856764,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice086.png,905,923,0.8990692869300543,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice088.png,762,737,0.9183389946701634,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice090.png,274,345,0.8659127611213041,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice091.png,180,238,0.794258371305602,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice092.png,157,184,0.8211143670935063,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice093.png,162,139,0.8372092995441551,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice094.png,103,101,0.8137254862072281,1
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice111.png,0,0,,0
nnU-Net Base,RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice114.png,0,0,,0
