Model,Image,Has_Lesion,GT_Lesion_Pixels,Pred_Lesion_Pixels,Case_Lesion_Dice
Standard U-Net (Base),Duke_Duke_Subject_01_slice010.png,1,89,67,0.3959349515333137
Standard U-Net (Base),Duke_Duke_Subject_01_slice015.png,1,443,379,0.7306981937194111
Standard U-Net (Base),Duke_Duke_Subject_01_slice030.png,1,3618,2734,0.6754267576157784
Standard U-Net (Base),Duke_Duke_Subject_01_slice032.png,1,1692,1259,0.41054623974054527
Standard U-Net (Base),Duke_Duke_Subject_01_slice040.png,1,40,57,0.5407375529796128
Standard U-Net (Base),Duke_Duke_Subject_01_slice042.png,0,0,0,
Standard U-Net (Base),Duke_Duke_Subject_01_slice044.png,0,0,5,
Standard U-Net (Base),Duke_Duke_Subject_02_slice025.png,1,306,361,0.7884879287206034
Standard U-Net (Base),Duke_Duke_Subject_02_slice028.png,1,296,261,0.8459512547980733
Standard U-Net (Base),Duke_Duke_Subject_02_slice044.png,0,0,75,
Standard U-Net (Base),Duke_Duke_Subject_02_slice045.png,1,150,157,0.734968126560426
Standard U-Net (Base),Duke_Duke_Subject_03_slice025.png,1,161,162,0.7651006685734877
Standard U-Net (Base),Duke_Duke_Subject_03_slice030.png,1,112,65,0.6394009144682589
Standard U-Net (Base),Duke_Duke_Subject_03_slice032.png,1,169,128,0.5393197242549679
Standard U-Net (Base),Duke_Duke_Subject_03_slice043.png,0,0,0,
Standard U-Net (Base),Duke_Duke_Subject_03_slice058.png,0,0,0,
Standard U-Net (Base),Duke_Duke_Subject_04_slice003.png,0,0,0,
Standard U-Net (Base),Duke_Duke_Subject_04_slice011.png,1,211,53,0.12730318193985
Standard U-Net (Base),Duke_Duke_Subject_04_slice016.png,1,160,170,0.7454167707936651
Standard U-Net (Base),Duke_Duke_Subject_04_slice021.png,1,207,283,0.6046952075943212
Standard U-Net (Base),Duke_Duke_Subject_04_slice024.png,1,998,846,0.48718555652235085
Standard U-Net (Base),Duke_Duke_Subject_04_slice026.png,1,1117,1319,0.28880011823251955
Standard U-Net (Base),Duke_Duke_Subject_04_slice028.png,1,206,423,0.321567250244951
Standard U-Net (Base),Duke_Duke_Subject_04_slice031.png,1,180,366,0.47763562756423666
Standard U-Net (Base),Duke_Duke_Subject_04_slice036.png,0,0,20,
Standard U-Net (Base),Duke_Duke_Subject_05_slice021.png,0,0,281,
Standard U-Net (Base),Duke_Duke_Subject_05_slice026.png,1,1978,1906,0.8265293345160062
Standard U-Net (Base),Duke_Duke_Subject_05_slice028.png,1,1755,1358,0.6604175984895262
Standard U-Net (Base),Duke_Duke_Subject_05_slice038.png,1,376,300,0.6487723006207593
Standard U-Net (Base),Duke_Duke_Subject_05_slice039.png,0,0,188,
Standard U-Net (Base),Duke_Duke_Subject_05_slice042.png,0,0,39,
Standard U-Net (Base),Duke_Duke_Subject_05_slice043.png,1,191,148,0.6128852036583033
Standard U-Net (Base),Duke_Duke_Subject_06_slice013.png,0,0,0,
Standard U-Net (Base),Duke_Duke_Subject_06_slice014.png,0,0,0,
Standard U-Net (Base),Duke_Duke_Subject_06_slice032.png,1,343,457,0.6940927789756768
Standard U-Net (Base),Duke_Duke_Subject_06_slice040.png,1,211,289,0.6256827373040589
Standard U-Net (Base),Duke_Duke_Subject_07_slice012.png,0,0,0,
Standard U-Net (Base),Duke_Duke_Subject_07_slice029.png,1,154,112,0.5504587130712904
Standard U-Net (Base),Duke_Duke_Subject_07_slice031.png,1,272,212,0.15134099573369444
Standard U-Net (Base),Duke_Duke_Subject_07_slice036.png,1,60,56,0.59727710796167
Standard U-Net (Base),Duke_Duke_Subject_08_slice013.png,1,36,28,0.7499999882812503
Standard U-Net (Base),Duke_Duke_Subject_08_slice018.png,1,412,327,0.3261420451125815
Standard U-Net (Base),Duke_Duke_Subject_08_slice030.png,1,353,324,0.5933174474175723
Standard U-Net (Base),Duke_Duke_Subject_08_slice045.png,0,0,0,
Standard U-Net (Base),Duke_Duke_Subject_09_slice028.png,1,116,93,0.7611280311129978
Standard U-Net (Base),Duke_Duke_Subject_09_slice030.png,1,77,113,0.6366131778394029
Standard U-Net (Base),Duke_Duke_Subject_09_slice032.png,1,56,61,0.5367316196699257
Standard U-Net (Base),Duke_Duke_Subject_09_slice035.png,1,50,25,0.26436781153388833
Standard U-Net (Base),Duke_Duke_Subject_09_slice039.png,0,0,1,
Standard U-Net (Base),Duke_Duke_Subject_09_slice050.png,1,15,14,0.8275861783590973
Standard U-Net (Base),Duke_Duke_Subject_10_slice016.png,0,0,0,
Standard U-Net (Base),Duke_Duke_Subject_10_slice020.png,1,145,145,0.7087959557740925
Standard U-Net (Base),Duke_Duke_Subject_10_slice030.png,0,0,17,
Standard U-Net (Base),Duke_Duke_Subject_10_slice032.png,1,130,90,0.6528417675291592
Standard U-Net (Base),Duke_Duke_Subject_10_slice035.png,1,120,182,0.5795381043756841
Standard U-Net (Base),Duke_Duke_Subject_10_slice040.png,1,77,24,0.27083332769097235
Standard U-Net (Base),Duke_Duke_Subject_10_slice045.png,1,511,224,0.6616956778460485
Standard U-Net (Base),Duke_Duke_Subject_10_slice060.png,0,0,0,
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice013.png,0,0,0,
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice016.png,0,0,0,
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice029.png,0,0,0,
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice032.png,1,34,34,0.8235293996539794
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice033.png,1,110,92,0.8910891044995589
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice034.png,1,94,97,0.8900523513609825
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice035.png,1,132,121,0.9169960438063398
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice036.png,1,334,357,0.8943560044944197
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice037.png,1,513,515,0.9474708161989582
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice039.png,1,635,682,0.9369779795467137
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice042.png,1,930,937,0.9329221635490523
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice043.png,1,1022,1028,0.8899912956662457
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice046.png,1,1265,1327,0.9280384876379065
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice047.png,1,1410,1589,0.9149484480013643
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice048.png,1,1806,1819,0.9531392002998248
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice049.png,1,1806,1894,0.948117078815927
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice050.png,1,2072,2085,0.9623628401282605
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice051.png,1,2048,2101,0.9492736798796693
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice052.png,1,2097,2119,0.9475326991151509
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice054.png,1,2120,2188,0.9601547305831313
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice055.png,1,2264,2371,0.952458098943288
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice056.png,1,2377,2343,0.9568158827628457
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice057.png,1,2402,2458,0.9482099981804653
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice058.png,1,2563,2567,0.949829107738777
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice059.png,1,2701,2719,0.9622492818440526
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice060.png,1,2730,2714,0.9514650080756099
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice061.png,1,2715,2675,0.963723807240264
Standard U-Net (Base),RET_Cirrus_03a60d9078d35b1488e6030880a29014_slice062.png,1,2693,2721,0.942002216127816
